"","popsize","genotype","media","mat","sd.ls","medianLS","AvgLS","weibAIC","weibLogLik","weibScale","weibShape","LLogisAIC","LLogisLogLik","LLogisScale","LLogisShape"
"2864","110","BY4742","YPD","MATalpha","12.4262494903731","28","28.7454545454545","873.842422174126","-434.921211087063","32.1663160848604","2.38372354439686","894.592413577042","-445.296206788521","27.2071174017789","3.41037310282985"
"2865","290","BY4742","YPD","MATalpha","11.1476922114763","25","24.0758620689655","2210.01580420843","-1103.00790210421","27.1436835032875","2.2780765939412","2249.69488086569","-1122.84744043285","22.2743762349879","3.26804916921962"
"2866","183","BY4742","YPD","MATalpha","10.8422495169204","23","23.7650273224044","1398.50230869727","-697.251154348637","26.6286038246037","2.24879530507356","1435.02608553543","-715.513042767715","22.2762804006901","3.17715289110472"
"2867","120","BY4742","YPD","MATalpha","9.52740040847541","27.5","26.2083333333333","888.368079665556","-442.184039832778","29.2393581873378","3.01097219856426","915.283220196482","-455.641610098241","25.3108313203308","4.0428903551961"
"2868","195","BY4742","YPD","MATalpha","10.2136909045006","26","26.8102564102564","1458.60440803846","-727.302204019231","30.0881179132231","2.82664891553814","1473.62015947565","-734.810079737823","25.4472150181124","4.22580335413129"
"2869","120","BY4742","YPD","MATalpha","9.14078725256412","24.5","24.975","875.585634022966","-435.792817011483","27.9178818178675","2.92809746871518","887.678509533397","-441.839254766698","24.1015539645847","4.41489764815491"
"2870","1028","BY4742","YPD","MATalpha","7.72946507774517","23","23.272373540856","7129.80888562007","-3562.90444281003","25.9329257905727","3.22645904168014","7177.27291313412","-3586.63645656706","22.4044106104535","4.95666277305114"
"2871","440","W303AR","YPD","MATa","7.98053129091259","19","18.9636363636364","3060.03914685793","-1528.01957342897","21.3691917204456","2.5461809068407","3107.39423968668","-1551.69711984334","17.8935116621439","3.73519636563849"
"2872","120","BY4742","YPD","MATalpha","8.2821396713056","25","24.8333333333333","854.473280365733","-425.236640182867","27.6141463960259","3.2531913472983","872.259815600328","-434.129907800164","24.0479809590171","4.6180066835865"
"2873","50","BY4742","YPD","MATalpha","9.85662524520892","26","27.3","372.314271082026","-184.157135541013","30.5958075265971","3.00915193597579","373.423944164539","-184.71197208227","25.925633537604","4.62521544248281"
"2874","139","BY4742","YPD","MATalpha","9.53924445964181","20","20.273381294964","1024.97318446405","-510.486592232026","22.7908222982625","2.22877790603663","1062.47460356338","-529.237301781688","18.8584679093843","2.88103553779138"
"2875","216","BY4741","YPD","MATa","10.0308814726325","24.5","25.7453703703704","1605.1768638602","-800.588431930101","28.9331173463605","2.75695767248897","1619.32091033901","-807.660455169505","24.3513567340573","4.15716479301366"
"2876","78","BY4741","YPD","MATa","10.016569688854","18.5","19.0769230769231","576.214468134923","-286.107234067462","21.4949557917342","1.99039437670682","587.331846443409","-291.665923221705","17.3693630228324","2.88022306708885"
"2877","719","BY4741","YPD","MATa","9.57449329087425","25","25.5062586926287","5269.23958912968","-2632.61979456484","28.6395678144655","2.87331496021422","5307.99085926674","-2651.99542963337","24.1437555737906","4.32647243817782"
"2878","80","BY4742","YPD","MATalpha","9.38379123673814","28","27.0875","587.441804165427","-291.720902082714","30.243383288408","3.19522820243876","599.036832248945","-297.518416124473","26.254438517505","4.53526233384608"
"2879","1288","BY4742","YPD","MATalpha","9.86647375032147","27","27.5038819875776","9542.06279814345","-4769.03139907172","30.7763801780187","3.02716449540002","9682.2443509833","-4839.12217549165","26.3577470036538","4.40397339814488"
"2880","60","WT","YPD","MATa","8.99522786224925","18","17.3666666666667","439.791809639131","-217.895904819566","19.3440403343504","1.90067217013603","459.529055839704","-227.764527919852","15.8412375221159","2.38581184371703"
"2881","249","WT","YPD","MATa","10.0013860938582","20","20.574297188755","1870.68961104982","-933.344805524912","22.9773646654585","2.05774868022274","1948.97625554262","-972.48812777131","19.0847295442974","2.62420960799805"
"2882","110","WT","YPD","MATa","10.1246773237023","21.5","22.5090909090909","825.47727297421","-410.738636487105","25.2749505299617","2.33014324837631","849.011319948282","-422.505659974141","21.0372876747179","3.18429084792653"
"2883","120","WT","YPD","MATa","12.2960219934231","22","23.0333333333333","944.161855602022","-470.080927801011","25.7357731958891","1.86812513116123","976.56875345149","-486.284376725745","20.6093807982715","2.43469202895498"
"2884","80","BY4743","YPD","diploid","10.4043564390784","34.5","34.05","608.241678694977","-302.120839347488","37.5354019155751","3.69887041430359","627.592299163393","-311.796149581697","33.6795339533836","5.0355200806387"
"2885","60","WT","YPD","MATa","9.92256744158327","13.5","14.5166666666667","437.012423329745","-216.506211664872","15.8025079783383","1.38257577221892","452.302956716487","-224.151478358243","11.5152949950475","1.78972270267774"
"2886","180","WT","YPD","MATa","11.6316993938259","14","16.0722222222222","1341.84472904721","-668.922364523604","17.5059639090173","1.35055499407919","1373.94168717365","-684.970843586823","12.3019488822544","1.83263937919888"
"2887","157","WT","YPD","MATa","11.6326818890036","22","21.7452229299363","1224.94290264344","-610.471451321721","24.1704033349421","1.8057805706577","1277.50725044793","-636.753625223967","19.4600357069993","2.23192379684644"
"2888","50","WT","YPD","MATa","9.12276810837498","18","16.86","369.376514758472","-182.688257379236","18.6608260509742","1.75385315545693","387.739145057179","-191.86957252859","15.1355280979469","2.12721504723953"
"2889","120","BY4741","YPD","MATa","9.86137813449442","28.5","28.2166666666667","889.880536915911","-442.940268457956","31.5707645237829","3.14864890949461","900.920417994171","-448.460208997085","27.0879390517994","4.59462261180084"
"2890","160","BY4742","YPD","MATalpha","8.82049321914205","24","24.1875","1151.74033192052","-573.870165960261","27.0849353154282","2.97542013038255","1166.99900889999","-581.499504449997","23.147631939555","4.3886163994268"
"2891","290","BY4742","YPD","MATalpha","8.85360661411813","26","25.9655172413793","2091.78883252105","-1043.89441626052","28.9548702027093","3.18095337055147","2124.23933162675","-1060.11966581338","25.1065298328694","4.6501109001275"
"2892","389","BY4742","YPD","MATalpha","11.444233920276","28","28.5424164524422","2990.23459808818","-1493.11729904409","32.1196714060551","2.70300593589418","3037.66202477474","-1516.83101238737","26.8761164394264","3.85469989905695"
"2893","289","BY4742","YPD","MATalpha","8.40404972087151","25","24.9377162629758","2048.83531702408","-1022.41765851204","27.8371146358929","3.26089617825697","2078.06358387699","-1037.0317919385","24.0508821521041","4.73992668140186"
"2894","409","BY4742","YPD","MATalpha","10.857970561461","27","28.039119804401","3097.97399400878","-1546.98699700439","31.5360997034902","2.79546064456336","3125.80231741172","-1560.90115870586","26.4512041025678","4.15247946487154"
"2895","479","BY4742","YPD","MATalpha","13.5217828252727","27","27.7369519832985","3825.70179066722","-1910.85089533361","31.3149961090175","2.16792754025368","3907.84900880808","-1951.92450440404","25.3045064208019","2.99133487296985"
"2896","80","BY4742","YPD","MATalpha","8.79787085865493","24","24.7","588.255956513848","-292.127978256924","27.3440382876816","2.95718974463542","609.694129085357","-302.847064542678","23.9491621778538","3.97836219454708"
"2897","838","BY4742","YPD","MATalpha","10.9254739962065","26","26.3794749403341","6360.30548397947","-3178.15274198973","29.6998718675104","2.59259207851657","6465.59503077426","-3230.79751538713","24.8581132960299","3.72994396173742"
"2898","758","BY4742","YPD","MATalpha","11.4068916552283","30","30.0197889182058","5836.08657198058","-2916.04328599029","33.6638706628274","2.88190138717923","5970.72355155238","-2983.36177577619","28.7350168319503","3.97664240054898"
"2899","200","BY4742","YPD","MATalpha","11.7526603424769","29","28.84","1546.94393446502","-771.47196723251","32.5035506633695","2.68109099409907","1572.87675176876","-784.43837588438","27.0867472230744","3.77218193931077"
"2900","319","BY4742","YPD","MATalpha","11.6590006556108","33","33.1316614420063","2471.98752438727","-1233.99376219363","37.0485406200804","3.11673147821859","2512.55066475415","-1254.27533237707","31.728495623612","4.41693976099321"
"2901","160","BY4742","YPD","MATalpha","8.68326075248219","24","24.16875","1161.74298470345","-578.871492351727","26.8569956942445","2.9560893926916","1197.828107982","-596.914053991001","23.4522939539599","4.08123367935293"
"2902","200","BY4742","YPD","MATalpha","8.3941218365613","24.5","24.605","1434.50120090317","-715.250600451585","27.2931754604389","3.19404419241193","1482.86417344025","-739.432086720125","24.1049386627196","4.35357965939683"
"2903","660","BY4741","YPD","MATa","10.3234221340537","25","24.4545454545455","4972.30429859242","-2484.15214929621","27.4275605780204","2.50902968882684","5128.03515820955","-2562.01757910478","23.3034680242864","3.3882496110806"
"2904","520","BY4741","YPD","MATa","12.0112464898942","31","30.2096153846154","4068.74661401389","-2032.37330700694","33.8761793412414","2.7407862119","4193.81514243044","-2094.90757121522","29.0125987562221","3.64449279046737"
"2905","320","BY4741","YPD","MATa","11.3947131879817","20","21.296875","2429.728759105","-1212.8643795525","24.0578718902846","1.96633356931314","2474.94880969436","-1235.47440484718","18.8132313922804","2.74910870265045"
"2906","160","BY4741","YPD","MATa","10.41923113087","20","21.925","1192.04917849001","-594.024589245004","24.7969019808718","2.24429465738164","1202.27194345452","-599.135971727259","19.9443724887244","3.35692042674298"
"2907","560","BY4741","YPD","MATa","9.53097295339162","27","27.375","4124.12903305244","-2060.06451652622","30.5334163648943","3.11782440181569","4204.13354601329","-2100.06677300665","26.4757067679844","4.47570374272188"
"2908","160","BY4741","YPD","MATa","11.6081850731208","34","33.36875","1238.41316187688","-617.20658093844","37.2971668096033","3.19959607370599","1262.75246250254","-629.37623125127","32.2100258181263","4.46657999178219"
"2909","120","BY4741","YPD","MATa","9.6100437655856","26","26","888.410591672854","-442.205295836427","29.042396129482","3.02484853264384","920.820429198642","-458.410214599321","25.4013155014878","3.96013951954304"
"2910","240","BY4741","YPD","MATa","10.943667567714","20","20.6875","1811.18960840504","-903.594804202519","23.3065155572791","1.96457881540767","1851.82407621865","-923.912038109324","18.38691033676","2.71666027686286"
